In una carreggiata del tipo rappresentato si può sorpassare anche in curva,V
La carreggiata del tipo rappresentato è a doppio senso di circolazione,V
"In una carreggiata extraurbana del tipo rappresentato le corsie interne sono, di norma, riservate al sorpasso",V
In una carreggiata del tipo rappresentato non si può effettuare l'inversione di marcia,V
In una carreggiata extraurbana del tipo rappresentato si può sorpassare indifferentemente sia da destra che da sinistra,F
In una carreggiata extraurbana del tipo rappresentato si può sempre marciare per file parallele,F
In una carreggiata del tipo rappresentato possiamo iniziare un sorpasso anche se il conducente che sta dietro ha già iniziato la stessa manovra,F
"Nella strada rappresentata, per ogni senso di marcia, la corsia di destra è, di norma, dedicata alla marcia ordinaria",V
La strada rappresentata è composta da tre corsie per ogni senso di marcia,V
"Nella strada rappresentata, per ogni senso di marcia, le corsie di centro e di sinistra sono dedicate, di norma, al sorpasso",V
La strada rappresentata è composta da una carreggiata,V
"Nella strada rappresentata, per ogni senso di marcia, la corsia di centro è dedicata, di norma, alla marcia ordinaria",F
"Nella strada rappresentata, per ogni senso di marcia, la corsia di destra è dedicata, di norma, al sorpasso",F
La strada rappresentata è composta da due carreggiate,F
"Nella strada rappresentata, per ogni senso di marcia, la corsia di sinistra è dedicata, di norma, alla marcia ordinaria",F
La strada rappresentata è composta da tre carreggiate,V
La strada rappresentata è composta da otto corsie,V
"Nella strada rappresentata le carreggiate laterali sono, di norma, a senso unico",V
"Nella strada rappresentata la carreggiata centrale è, di norma, a doppio senso di circolazione",V
"La strada rappresentata consente, di norma, il sorpasso anche in curva",V
"La strada rappresentata è composta da quattro carreggiate, tutte a senso unico",F
La strada rappresentata è composta da otto carreggiate,F
"La strada rappresentata, di norma, ha due carreggiate a doppio senso di circolazione",F
La strada rappresentata è composta da tre corsie,F
"Nella strada rappresentata, la corsia centrale è a doppio senso di circolazione",F
"Nelle carreggiate laterali della strada rappresentata è consentita, di norma, l'inversione di marcia",F
L'attraversamento pedonale viene segnalato con strisce bianche parallele,V
L'attraversamento pedonale è una parte della carreggiata sulla quale è vietata la fermata dei veicoli,V
"L'attraversamento pedonale è una parte della carreggiata, in cui i veicoli devono dare la precedenza ai pedoni, che attraversano sulle apposite strisce",V
L'attraversamento pedonale è una parte della carreggiata destinata al transito dei pedoni che attraversano,V
L'attraversamento pedonale è una parte della carreggiata sulla quale è vietata la sosta dei veicoli,V
"L'attraversamento pedonale è una parte della strada, separata dalla carreggiata mediante una striscia gialla",F
L'attraversamento pedonale è una parte della carreggiata vietata al transito dei veicoli,F
L'attraversamento pedonale non fa parte della carreggiata,F
L'attraversamento pedonale è posto al di fuori della carreggiata ed è destinato al transito dei pedoni,F
L'attraversamento pedonale è una parte della carreggiata in cui è consentita la fermata ma non la sosta dei veicoli,F
Le strade extraurbane principali sono a carreggiate separate,V
Le strade extraurbane principali sono dotate di apposite aree di sosta,V
La strada extraurbana principale non ha incroci a raso che l'attraversano,V
Le strade extraurbane principali sono segnalate da cartelli stradali di inizio e fine,V
Nelle strade extraurbane principali possono circolare solo alcune categorie di veicoli a motore,V
Nelle strade extraurbane principali si possono trovare intersezioni (incroci) a livelli sfalsati,V
Le strade extraurbane principali sono provviste di corsie di accelerazione per l'ingresso,V
Sulle strade extraurbane principali è consentito circolare alla velocità massima di 130 km/h,F
Le strade extraurbane principali sono contraddistinte da segnaletica verde,F
Le strade extraurbane principali possono essere ad un'unica carreggiata,F
Sulle strade extraurbane principali è consentito circolare alla stessa velocità massima prevista per le autostrade,F
Sulle strade extraurbane principali i quadricicli leggeri possono transitare,F
Le strade extraurbane principali hanno una sola corsia per ogni senso di marcia,F
Sulle strade extraurbane principali i ciclomotori possono transitare,F
Nelle strade extraurbane principali non vi sono curve né dossi,F
Le strade extraurbane principali devono essere dotate di pannelli a messaggio variabile,F
L'isola di traffico serve a facilitare l'incanalamento dei veicoli verso varie direzioni,V
L'isola di traffico è delimitata da strisce bianche continue,V
L'isola di traffico può essere a raso o in rilievo (rialzata),V
L'isola di traffico viene evidenziata mediante zebrature di colore bianco,V
L'isola di traffico è una parte della strada sulla quale è vietato il transito dei motocicli,V
L'isola di traffico a raso è costituita da zebrature di colore bianco,V
"L'isola di traffico, se rialzata, è preceduta da zebrature di colore bianco",V
L'isola di traffico è una parte della strada sulla quale è vietato il transito dei veicoli,V
L'isola di traffico serve a separare la carreggiata dalla banchina,F
L'isola di traffico serve per il transito dei pedoni,F
L'isola di traffico è una piazzola di sosta per i veicoli,F
L'isola di traffico può essere percorsa solo dai taxi e dagli autobus urbani,F
L'isola di traffico è la parte della città con maggiore traffico,F
"L'isola di traffico corrisponde, in genere, al centro storico della città",F
L'isola di traffico è una piazzola per effettuare l'inversione di marcia,F
L'isola di traffico è posta al di fuori della strada,F
L'isola di traffico serve per la fermata dei veicoli,F
"L'isola di traffico facilita la salita e la discesa di passeggeri da tram, filobus e autobus",F
L'isola di traffico è una zona destinata al parcheggio dei veicoli,F
L'isola di traffico è un'area pedonale urbana,F
L'isola di traffico è una parte della strada sulla quale è consentito il transito dei ciclomotori,F
L'intersezione (incrocio) a livelli sfalsati comprende strade situate ad altezze diverse,V
"L'intersezione (incrocio) a livelli sfalsati facilita la circolazione, perché esclude l'incrocio diretto fra i veicoli",V
"L'intersezione (incrocio) a livelli sfalsati comprende rampe, sovrappassi o sottopassi",V
"L'intersezione (incrocio) a livelli sfalsati è munita di infrastrutture (rampe, sovrappassi, sottopassi) per il collegamento fra strade poste a livelli diversi",V
L'intersezione a livelli sfalsati è un incrocio a raso fra una strada e i binari del treno,F
Nell'intersezione (incrocio) a livelli sfalsati non valgono i limiti massimi generali di velocità,F
"L'intersezione (incrocio) a livelli sfalsati è, di norma, regolata da semafori",F
Nell'intersezione (incrocio) a raso due o più strade si incrociano allo stesso livello,V
L'intersezione (incrocio) a raso può essere regolata da semaforo,V
L'intersezione (incrocio) a raso è un'intersezione di due o più strade poste allo stesso livello,V
L'intersezione (incrocio) a raso richiede di fare attenzione ai veicoli provenienti dalle strade che si incrociano,V
L'intersezione (incrocio) a raso è un incrocio fra una strada statale e i binari del tram,F
L'intersezione (incrocio) a raso è un passaggio a livello dotato di barriere o semibarriere,F
L'intersezione (incrocio) a raso è un'intersezione a livelli sfalsati,F
"L'intersezione (incrocio) a raso è un insieme di sovrappassi, sottopassi e rampe",F
L'intersezione (incrocio) a raso è un incrocio fra una strada statale e un passo carrabile,F
Una zona a traffico limitato è un'area in cui può essere limitata la circolazione dei veicoli solo in alcune ore,V
Una zona a traffico limitato è un'area nella quale può essere limitata la circolazione solo di particolari categorie di veicoli,V
In una zona a traffico limitato possono circolare solo i veicoli autorizzati,V
Una zona a traffico limitato è un'area nella quale può essere limitata la circolazione solo a particolari categorie di utenti,V
Una zona a traffico limitato è delimitata da appositi segnali stradali di inizio e di fine,V
In una zona a traffico limitato non possono entrare più di un certo numero di veicoli,F
Una zona a traffico limitato è un'area nella quale è consentito solo il transito di ciclomotori e biciclette,F
Una zona a traffico limitato è un'area sempre vietata al transito dei veicoli a motore,F
Una zona a traffico limitato è un'area vietata al transito dei pedoni durante le ore notturne,F
In un passaggio a livello si possono trovare le barriere,V
In un passaggio a livello si possono trovare le semibarriere,V
In un passaggio a livello si possono trovare le luci rosse,V
In vicinanza di un passaggio a livello si trovano i pannelli distanziometrici,V
In un passaggio a livello si può trovare la croce di S. Andrea,V
In un passaggio a livello si può trovare un dispositivo di segnalazione acustica,V
Il passaggio a livello è un cavalcavia ferroviario o tranviario,F
In un passaggio a livello si possono trovare le luci gialle lampeggianti,F
Il passaggio a livello è caratterizzato dalla presenza di un attraversamento autostradale,F
In un passaggio a livello si possono trovare le corsie di accelerazione,F
Il passaggio a livello è un passo carrabile,F
Il passaggio a livello è caratterizzato dalla presenza di un sottopassaggio,F
